,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x19,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (ġa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DR_PARTITION,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,MASTER_BC_ID,uint16_t,telemetry_manager->master_bc_id,PACKET,26,0,16,NONE,,,,,,,,,
,BC_INFO0.BC_ID,uint16_t,telemetry_manager->bc_info[0].bc_id,PACKET,28,0,16,NONE,,,,,,,,,
,BC_INFO0.BC_TYPE,uint8_t,(uint8_t)telemetry_manager->bc_info[0].bc_type,PACKET,30,0,8,STATUS,,,,,,,0=MASTER@@ 1=HK_TLM@@ 2=SYSTEM_TLM@@ 3=HIGH_FREQ_TLM@@ 4=LOW_FREQ_TLM@@ 5=RESERVE,,
,BC_INFO1.BC_ID,uint16_t,telemetry_manager->bc_info[1].bc_id,PACKET,31,0,16,NONE,,,,,,,,,
,BC_INFO1.BC_TYPE,uint8_t,(uint8_t)telemetry_manager->bc_info[1].bc_type,PACKET,33,0,8,STATUS,,,,,,,0=MASTER@@ 1=HK_TLM@@ 2=SYSTEM_TLM@@ 3=HIGH_FREQ_TLM@@ 4=LOW_FREQ_TLM@@ 5=RESERVE,,
,BC_INFO2.BC_ID,uint16_t,telemetry_manager->bc_info[2].bc_id,PACKET,34,0,16,NONE,,,,,,,,,
,BC_INFO2.BC_TYPE,uint8_t,(uint8_t)telemetry_manager->bc_info[2].bc_type,PACKET,36,0,8,STATUS,,,,,,,0=MASTER@@ 1=HK_TLM@@ 2=SYSTEM_TLM@@ 3=HIGH_FREQ_TLM@@ 4=LOW_FREQ_TLM@@ 5=RESERVE,,
,BC_INFO3.BC_ID,uint16_t,telemetry_manager->bc_info[3].bc_id,PACKET,37,0,16,NONE,,,,,,,,,
,BC_INFO3.BC_TYPE,uint8_t,(uint8_t)telemetry_manager->bc_info[3].bc_type,PACKET,39,0,8,STATUS,,,,,,,0=MASTER@@ 1=HK_TLM@@ 2=SYSTEM_TLM@@ 3=HIGH_FREQ_TLM@@ 4=LOW_FREQ_TLM@@ 5=RESERVE,,
,BC_INFO4.BC_ID,uint16_t,telemetry_manager->bc_info[4].bc_id,PACKET,40,0,16,NONE,,,,,,,,,
,BC_INFO4.BC_TYPE,uint8_t,(uint8_t)telemetry_manager->bc_info[4].bc_type,PACKET,42,0,8,STATUS,,,,,,,0=MASTER@@ 1=HK_TLM@@ 2=SYSTEM_TLM@@ 3=HIGH_FREQ_TLM@@ 4=LOW_FREQ_TLM@@ 5=RESERVE,,
,BC_INFO5.BC_ID,uint16_t,telemetry_manager->bc_info[5].bc_id,PACKET,43,0,16,NONE,,,,,,,,,
